TABLE_NAME	CONSTRAINT_NAME
aluminum_scraps	aluminum_scraps_ibfk_1
aluminum_scraps	aluminum_scraps_ibfk_3
debts	debts_ibfk_2
decals	decals_ibfk_2
design_inventory_reservations	design_inventory_reservations_ibfk_1
design_purchase_requests	design_purchase_requests_ibfk_1
design_revisions	design_revisions_ibfk_1
door_designs	door_designs_ibfk_1
door_drawings	door_drawings_ibfk_1
financial_transactions	financial_transactions_ibfk_1
inventory_out	inventory_out_ibfk_1
inventory_transactions	fk_inventory_transactions_project
inventory_transactions	inventory_transactions_ibfk_2
material_requests	fk_mr_project
production_orders	production_orders_ibfk_1
product_manufacturing	product_manufacturing_ibfk_1
project_accessories_summary	project_accessories_summary_ibfk_1
project_aluminum_summary	project_aluminum_summary_ibfk_1
project_cutting_optimization	project_cutting_optimization_ibfk_1
project_finances	project_finances_ibfk_1
project_gaskets_summary	project_gaskets_summary_ibfk_1
project_glass_summary	project_glass_summary_ibfk_1
project_items	fk_pi_project
project_logs	project_logs_ibfk_1
project_materials	project_materials_ibfk_1
project_pricing	project_pricing_ibfk_1
purchase_requests	purchase_requests_ibfk_1
quotations	quotations_ibfk_1
